  PID TTY          TIME CMD
 2242 ?        00:00:00 kworker/u8:55
 2243 ?        00:00:00 kworker/u8:56
 2244 ?        00:00:00 kworker/u8:57
 2245 ?        00:00:00 kworker/u8:58
 2246 ?        00:00:00 kworker/u8:59
 2247 ?        00:00:00 kworker/u8:60
 2248 ?        00:00:00 kworker/u8:61
 2249 ?        00:00:00 kworker/u8:62
 2250 ?        00:00:00 kworker/u8:63
 2251 ?        00:00:00 kworker/u8:64
 2252 ?        00:00:00 kworker/u8:65
 2253 ?        00:00:00 kworker/u8:66
 2254 ?        00:00:00 kworker/u8:67
 2255 ?        00:00:00 kworker/u8:68
 2256 ?        00:00:00 kworker/u8:69
 2257 ?        00:00:00 kworker/u8:70
 2258 ?        00:00:00 kworker/u8:71
 2259 ?        00:00:00 kworker/u8:72
 2260 ?        00:00:00 kworker/u8:73
 2261 ?        00:00:00 kworker/u8:74
 2262 ?        00:00:00 kworker/u8:75
 2263 ?        00:00:00 kworker/u8:76
 2264 ?        00:00:00 kworker/u8:77
 2265 ?        00:00:00 kworker/u8:78
 2266 ?        00:00:00 kworker/u8:79
 2267 ?        00:00:00 kworker/u8:80
 2268 ?        00:00:00 kworker/u8:81
 2269 ?        00:00:00 kworker/u8:82
 2270 ?        00:00:00 kworker/u8:83
 2271 ?        00:00:00 kworker/u8:84
 2272 ?        00:00:00 kworker/u8:85
 2273 ?        00:00:00 kworker/u8:86
 2274 ?        00:00:00 kworker/u8:87
 2275 ?        00:00:00 kworker/u8:88
 2276 ?        00:00:00 kworker/u8:89
 2277 ?        00:00:00 kworker/u8:90
 2278 ?        00:00:00 kworker/u8:91
 2279 ?        00:00:00 kworker/u8:92
 2280 ?        00:00:00 kworker/u8:93
 2281 ?        00:00:00 kworker/u8:94
 2282 ?        00:00:00 irq/52-mei_me
 2288 ?        00:00:00 kworker/1:4
 2292 ?        00:00:00 kworker/1:5
 2304 ?        00:00:00 gdm-session-wor
 2362 ?        00:00:00 dhclient
 2474 ?        00:00:00 pickup
 2475 ?        00:00:00 qmgr
 2480 ?        00:00:00 systemd
 2481 ?        00:00:00 (sd-pam)
 2494 ?        00:00:00 gnome-keyring-d
 2499 tty2     00:00:00 gdm-x-session
 2501 tty2     00:00:12 Xorg
 2510 ?        00:00:00 dbus-daemon
 2513 tty2     00:00:00 gnome-session-b
 2607 ?        00:00:00 ssh-agent
 2609 ?        00:00:00 at-spi-bus-laun
 2614 ?        00:00:00 dbus-daemon
 2616 ?        00:00:00 at-spi2-registr
 2633 tty2     00:00:20 gnome-shell
 2639 ?        00:00:00 gvfsd
 2644 ?        00:00:00 gvfsd-fuse
 2655 ?        00:00:02 pulseaudio
 2659 ?        00:00:00 krfcommd
 2670 tty2     00:00:00 ibus-daemon
 2675 tty2     00:00:00 ibus-dconf
 2677 tty2     00:00:00 ibus-x11
 2679 ?        00:00:00 ibus-portal
 2690 ?        00:00:00 gnome-shell-cal
 2697 ?        00:00:00 gvfs-udisks2-vo
 2701 ?        00:00:00 gvfs-afc-volume
 2706 ?        00:00:00 gvfs-mtp-volume
 2710 ?        00:00:00 gvfs-gphoto2-vo
 2714 ?        00:00:00 evolution-sourc
 2718 ?        00:00:00 gvfs-goa-volume
 2722 ?        00:00:00 goa-daemon
 2736 ?        00:00:00 goa-identity-se
 2741 tty2     00:00:00 gsd-power
 2742 tty2     00:00:00 gsd-print-notif
 2744 tty2     00:00:00 gsd-rfkill
 2745 tty2     00:00:00 gsd-screensaver
 2749 tty2     00:00:00 gsd-sharing
 2750 tty2     00:00:00 gsd-smartcard
 2755 tty2     00:00:00 gsd-sound
 2756 tty2     00:00:00 gsd-xsettings
 2771 tty2     00:00:00 gsd-wacom
 2777 tty2     00:00:00 gsd-a11y-settin
 2780 tty2     00:00:00 gsd-clipboard
 2783 tty2     00:00:00 gsd-color
 2784 tty2     00:00:00 gsd-datetime
 2788 tty2     00:00:00 gsd-housekeepin
 2789 tty2     00:00:00 gsd-keyboard
 2793 tty2     00:00:00 gsd-media-keys
 2797 tty2     00:00:00 gsd-mouse
 2823 tty2     00:00:00 gsd-printer
 2838 tty2     00:00:01 nautilus-deskto
 2841 tty2     00:00:02 gnome-do
 2842 tty2     00:00:04 gnome-software
 2844 tty2     00:00:00 gsd-disk-utilit
 2850 tty2     00:00:00 python3
 2865 ?        00:00:00 evolution-calen
 2877 tty2     00:00:00 ibus-engine-sim
 2886 ?        00:00:00 gvfsd-trash
 2898 ?        00:00:03 nautilus
 2912 ?        00:00:00 dconf-service
 2917 ?        00:00:00 fwupd
 2928 ?        00:00:00 evolution-calen
 2937 ?        00:00:00 gconfd-2
 2945 ?        00:00:00 evolution-addre
 2975 ?        00:00:00 evolution-addre
 2989 ?        00:00:00 gvfsd-metadata
 3054 ?        00:00:00 kworker/2:4
 3092 ?        00:00:00 gnome-terminal-
 3102 pts/0    00:00:00 bash
 3114 pts/0    00:00:02 python3
 3119 tty2     00:00:00 update-notifier
 3168 tty2     00:00:08 update-manager
 3212 tty2     00:00:00 oosplash
 3232 tty2     00:00:07 soffice.bin
 3396 pts/0    00:02:05 ffmpeg
 3618 ?        00:00:00 cupsd
 3619 ?        00:00:00 cups-browsed
 3708 tty2     00:00:00 deja-dup-monito
 3733 ?        00:00:00 gvfsd-network
 3769 ?        00:00:00 gvfsd-dnssd
 3828 pts/0    00:00:00 sh
 3829 pts/0    00:00:00 ps
